[2014-10-20 14:27:13] EDIT heritage/views/default/youth.html: 0
[2014-10-20 14:27:32] EDIT heritage/views/default/youth.html: 0
[2014-10-20 14:29:21] EDIT heritage/views/default/youth.html: 1
[2014-10-21 09:24:49] EDIT heritage/views/default/youth.html: 0
[2014-10-21 09:29:49] EDIT heritage/views/default/youth.html: 0
[2014-10-21 09:30:03] EDIT heritage/views/default/youth.html: 0
[2014-10-21 09:33:10] EDIT heritage/views/default/youth.html: 1
[2014-10-21 09:33:33] EDIT heritage/views/default/youth.html: 0
[2014-10-21 09:35:29] EDIT heritage/views/default/youth.html: 0
[2014-10-21 10:50:17] EDIT heritage/views/default/youth.html: 1
[2014-10-21 10:52:26] EDIT heritage/views/default/youth.html: 0
[2014-10-21 10:52:48] EDIT heritage/views/default/youth.html: 0
[2014-10-21 10:53:01] EDIT heritage/views/default/youth.html: 0
[2014-10-21 10:54:37] EDIT heritage/views/default/youth.html: 0
[2014-10-21 10:54:53] EDIT heritage/views/default/youth.html: 0
[2014-10-21 10:55:09] EDIT heritage/views/default/youth.html: -13
[2014-10-21 10:55:18] EDIT heritage/views/default/youth.html: 13
[2014-10-21 10:56:18] EDIT heritage/controllers/default.py: 2
[2014-10-21 10:56:31] CREATE default/test.html: 0
[2014-10-21 10:56:54] EDIT heritage/views/default/test.html: -2
[2014-10-21 10:59:07] EDIT heritage/views/default/test.html: 5
[2014-10-21 11:09:24] EDIT heritage/views/web2py_ajax.html: 4
[2014-10-21 11:09:38] EDIT heritage/views/web2py_ajax.html: 0
[2014-10-21 11:13:23] EDIT heritage/views/default/test.html: 0
[2014-10-21 11:13:56] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:15:07] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:15:40] EDIT heritage/views/default/youth.html: 1
[2014-10-21 11:16:13] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:18:49] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:19:22] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:22:27] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:23:13] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:25:06] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:26:08] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:28:07] EDIT heritage/views/default/youth.html: 4
[2014-10-21 11:29:00] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:30:51] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:31:41] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:31:51] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:32:00] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:32:37] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:33:46] EDIT heritage/views/default/youth.html: 1
[2014-10-21 11:34:40] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:35:42] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:45:17] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:49:51] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:50:10] EDIT heritage/views/default/youth.html: 1
[2014-10-21 11:50:22] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:50:39] EDIT heritage/views/default/youth.html: -1
[2014-10-21 11:55:55] EDIT heritage/views/default/youth.html: 1
[2014-10-21 11:57:08] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:57:29] EDIT heritage/views/default/youth.html: 0
[2014-10-21 11:57:48] EDIT heritage/views/default/youth.html: 0
[2014-10-21 12:41:27] EDIT heritage/controllers/default.py: 1
[2014-10-21 12:43:08] EDIT heritage/views/default/test.html: 17
[2014-10-21 12:43:39] EDIT heritage/views/default/test.html: 0
[2014-10-21 12:44:12] EDIT heritage/views/default/test.html: 0
[2014-10-21 12:45:34] EDIT heritage/views/default/test.html: 0
[2014-10-21 12:45:55] EDIT heritage/views/default/test.html: 0
[2014-10-21 12:46:02] EDIT heritage/views/default/test.html: 0
[2014-10-21 12:46:43] EDIT heritage/views/default/test.html: 0
[2014-10-21 12:47:55] EDIT heritage/static/css/style.css: 0
[2014-10-21 12:48:50] EDIT heritage/static/css/style.css: 0
[2014-10-21 12:49:21] EDIT heritage/static/css/style.css: 0
[2014-10-21 12:49:31] EDIT heritage/static/css/style.css: 0
[2014-10-21 12:50:07] EDIT heritage/views/default/test.html: -1
[2014-10-21 13:06:39] EDIT heritage/views/default/youth.html: -18
[2014-10-21 13:09:35] EDIT heritage/views/default/about.html: 7
[2014-10-21 13:12:18] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:12:36] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:14:40] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:14:55] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:15:31] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:16:28] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:17:21] EDIT heritage/views/default/about.html: 1
[2014-10-21 13:17:31] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:17:50] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:17:55] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:18:15] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:19:53] EDIT heritage/views/default/about.html: 0
